0:	0- 124762462043.34477
	18- 18064.92858076941
	19- 2121.4077051872687
	20- 19.741256515256943
	21- 41.92430290908631
	22- 44.083973879019965
	23- 31.585255235028203
	24- 118.37867372299235
	25- 5904.327796853515
	26- 215.13563748887725
	27- 4708.270750781283
	28- 4036.569701769746
	29- 1602.174337208087
	30- 6.7261883220869505
	31- 51.409362331088175
	32- 10.334868378020845
	33- 445.5916302391976
	34- 134.42864361717693
	35- 1545.6360093504643
	36- 502.67439635674185
	37- 868.291028573396
	38- 797.2013015313536
	39- 3039.464674442831
	40- 18.772997614549496
	41- 4.653705589094801
	42- 305.0070430498978
	43- 190.294791571745
	44- 146.46357678576425
	45- 491.29307194936814
	46- 63.87671305781643
	47- 498.35315937046926
	48- 248.60939962765642
	49- 1172.7746273077678
	50- 8.937072984899444
	51- 27.611453044513095
	52- 307.4226463484969
	53- 22.877158480332714
	54- 245.73703579077332
	55- 21.833505512275792
	56- 6.5483152065959676
	57- 643.1980463218566
	58- 33.79256489957071
	59- 236.67031179765266
	60- 1.8721266208398175
	61- 13.25003210874031
	62- 7.03351854208888
	63- 39.36200772314962
	64- 102.70629334815615
	65- 8.916361793778051
	66- 29.09321621214303
	67- 219.0284240544314
	68- 15.072346095314316
	69- 76.38068373267954
	70- 12.499022534021607
	71- 37.79368256737535
	72- 8.513990506331073
	73- 323.9729562050439
	74- 13.044420190533385
	75- 60.36130469526212
	76- 53.375666050040856
	77- 346.40297962715334
	78- 54.75564943261879
	79- 24.08897448201747
	80- 27.61666635018933
	81- 18.991643755411662
	82- 30.462183646877563
	83- 50.00369722648661
	84- 16.96546173389055
	85- 12.556528445882176
	86- 109.13730669557988
	87- 12.943926178113765
	88- 6.5376920656036805
	89- 25.657367090570865
	90- 1.6056860034269524
	91- 6.639043041710032
	92- 7.387801741506551
	93- 5.106843521868865
	94- 2.0460905339146436
	95- 7.795714975092521
	96- 26.027075684401265
	97- 127.36526123033727
	98- 30.43348358260624
	99- 173.33160659365745
8:	0- 31.223419656068824
	1- 26.27661932265108
	2- 134.96512139876353
	3- 86.78712935632879
	4- 188.9140398561223
	5- 20.01241756894687
	6- 967.5465378965774
	7- 26003.437142509738
	8- 48220024507.93522
	9- 23760.89917096374
	10- 19.391803459451612
	11- 15.495945271754348
	12- 197.2254641732121
	13- 164.42660781920782
	14- 73.60025169566003
	15- 457.4239907316391
	16- 3929.5086493073686
	17- 55940.229544113114
	18- 8617.76878799749
	19- 12097.22287800508
	20- 4.828853734675315
	21- 103.30959588144134
	22- 233.56282898510582
	23- 964.9556101423291
	24- 61.244860671085924
	25- 716.6805032164721
	26- 7435.1099985382325
	27- 1008.3334692788565
	28- 17831.818670425106
	29- 2277.797864533222
	30- 7.643900762253119
	31- 45.26931712414084
	32- 87.36596738040645
	33- 15.541287756752478
	34- 74.9281548392919
	35- 10.905466417588688
	36- 2987.2222917717518
	37- 2996.074681471705
	38- 1880.9644583552347
	39- 133.31339787577696
	40- 5.2529192778560585
	41- 62.34719096973161
	42- 66.9920775959716
	43- 289.9906162231532
	44- 40.97558732531809
	45- 1076.4858879834821
	46- 359.2798040736047
	47- 259.2125299094884
	48- 10536.762020360256
	49- 23.421812730352002
	50- 13.297267367093172
	51- 5.469336379238501
	52- 22.43875648467605
	53- 13.69374079444193
	54- 9.205660183925527
	55- 27.04997049825795
	56- 60.19230910061684
	57- 55.19573998375019
	58- 13.622697942284406
	59- 289.28306918749007
	60- 6.631894061194801
	61- 5.308392929074762
	62- 78.195716229715
	63- 3.2471637224147605
	64- 139.82192437149845
	65- 581.1539606037525
	66- 777.0461942837444
	67- 21.575895975362005
	68- 7.772824472240966
	69- 41.766277407091806
	70- 3.588477453122249
	71- 3.616057267490079
	72- 3.9552461840009343
	73- 82.87324892417902
	74- 43.93437978439193
	75- 8.663994962581821
	76- 139.16978636943702
	77- 26.311731547063104
	78- 183.31320701166374
	79- 165.9992704704791
	80- 0.7645559857021827
	81- 4.843334179239396
	82- 5.674451373230626
	83- 24.08121255657648
	84- 8.003507781308462
	85- 20.958340676368497
	86- 30.481371179199776
	87- 39.91691581778095
	88- 6.9609738782357935
	89- 6.353974047410111
	90- 3.3339051678698812
	91- 10.182455618334798
	92- 38.74854236330141
	93- 11.806825395578436
	94- 3.206108063819076
	95- 10.091184395376823
	96- 16.915365026373113
	97- 26.328375665905206
	98- 3.125483501540874
	99- 10.35582226760199
9:	0- 7.092877754454906
	1- 18.538845254648677
	2- 550.3376717984648
	3- 4.882086476012551
	4- 33.49472889541446
	5- 946.1071238742373
	6- 1899.142355050214
	7- 36364.968063760745
	8- 1283168.5310553277
	9- 48168244073.242935
	10- 8.217880250017028
	11- 1.5283836567235605
	12- 126.57230566600462
	13- 191.25492836282655
	14- 716.769415529088
	15- 32.58342882648079
	16- 1920.652827925518
	17- 1219.9063019444077
	18- 18904.255185576763
	19- 528791.603071205
	20- 13.574190042780023
	21- 2.8886313953450085
	22- 22.428967197804052
	23- 29.981575782584144
	24- 126.25207258269391
	25- 152.99464023372565
	26- 1006.9960258242945
	27- 1703.3744858505572
	28- 9710.649939945548
	29- 5672.867602372139
	30- 83.90932823276148
	31- 34.129290417312895
	32- 4.2929585674612065
	33- 2.1096132324533956
	34- 208.01339601477838
	35- 167.6029701197387
	36- 5354.869284019791
	37- 522.5272026813589
	38- 141.24542934733282
	39- 4451.606680477568
	40- 118.17953200044758
	41- 5.262421380668619
	42- 11.797158874067945
	43- 6.001160692157431
	44- 64.42991030366635
	45- 62.23381499763462
	46- 407.4726398866996
	47- 2111.5219679466063
	48- 11743.856228786895
	49- 543.0451341840538
	50- 3.0585746663421722
	51- 14.5661581193595
	52- 13.635661257298866
	53- 1.7039456286914851
	54- 165.48802782085036
	55- 10.451806987599827
	56- 110.45717396185599
	57- 59.34229637731272
	58- 526.5068356404917
	59- 128.60903481587457
	60- 1.3398534692389579
	61- 3.6874081320367798
	62- 16.687631991460357
	63- 38.72672078703703
	64- 14.086487450618591
	65- 32.18377182675125
	66- 23.73532154876856
	67- 89.60890225757541
	68- 29.400718111545892
	69- 276.3241366672032
	70- 8.952488636393078
	71- 16.77957019439992
	72- 0.22449857936247639
	73- 21.405998755734313
	74- 7.189925482074044
	75- 14.110531382959387
	76- 10.657565758903445
	77- 24.466243103335035
	78- 9.525563115472819
	79- 140.1979362835305
	80- 0.28749934123630544
	81- 1.5918577213102774
	82- 0.18594689681048662
	83- 0.447107523880269
	84- 3.2747392740180694
	85- 11.053381555331885
	86- 5.200440590671155
	87- 3.612972792140387
	88- 283.8112149139104
	89- 2.4977807857381213
	90- 3.408680222048389e-84
	91- 3.3716194251421365
	92- 0.11982851233109097
	93- 1.9111884270177926
	94- 2.810519411265269
	95- 3.9986331344727573
	96- 8.48709783186732
	97- 2.7855983407504668
	98- 1.8994035156604425
	99- 55.4256100135156
10:	0- 596234.6406445008
	1- 4533.568775969136
	2- 906.172446246382
	3- 462.78133034381835
	4- 929.5751629328449
	5- 74.17489184448176
	6- 47.526743782154476
	7- 59.87229330524795
	8- 78.02710980824543
	9- 1.2963685173137944
	10- 4298222272.601465
	11- 23374.593675028962
	12- 15943.264597690184
	13- 4189.788066879809
	14- 1046.7718680000783
	15- 247.55528978138264
	16- 105.9385682945925
	17- 69.91817923660228
	18- 13.214114039218524
	19- 1.387753996104692
	20- 13348.507945302694
	21- 14967.260121659861
	22- 84057.80118239162
	23- 11263.983744915215
	24- 444.46090172027033
	25- 68.20384106164934
	26- 70.63534561081586
	27- 41.548770120013906
	28- 10.6150083478526
	29- 8.826589060637174
	30- 1459.8503162295694
	31- 9222.193921392116
	32- 3623.433296234557
	33- 201.77232513370242
	34- 201.67523379533284
	35- 164.37564337800896
	36- 130.40443811095588
	37- 156.17909541412678
	38- 12.78235228876703
	39- 27.62960944499591
	40- 72.39411606880701
	41- 11999.846233908982
	42- 522.7168494823095
	43- 129.4602404119661
	44- 303.9821150704792
	45- 11.895809506770266
	46- 119.3665810701516
	47- 73.23535136099883
	48- 231.35285910362788
	49- 0.9467920423355827
	50- 204.1347796931809
	51- 448.76611663574965
	52- 247.93030533385385
	53- 185.76691530012093
	54- 32.46832367210998
	55- 296.02788326041974
	56- 29.469313346959282
	57- 156.26010404687395
	58- 24.657832948790848
	59- 54.3421870430473
	60- 72.80616466118651
	61- 45.29146061340308
	62- 26.123630499161653
	63- 15.454461738287874
	64- 6.025561366620756
	65- 17.564477364521238
	66- 2.114158787277987
	67- 23.203705240558442
	68- 12.021526124104684
	69- 6.310442853717127
	70- 1168.2857069603774
	71- 122.4066893503712
	72- 10.664006699726828
	73- 14.74485763094922
	74- 121.2496242342617
	75- 3.4168048312663215
	76- 28.50593394702754
	77- 2.6401650244059636
	78- 8.940084610275443
	79- 6.4489441746168445
	80- 83.48102473863749
	81- 5.206051848424905
	82- 46.19827181242982
	83- 73.15815087902313
	84- 33.58370105869691
	85- 2.388293781845099
	86- 3.232055244513367
	87- 9.27161849906005
	88- 9.728382155774911
	89- 0.1262339303668558
	90- 113.18412088122096
	91- 13.372663177130892
	92- 41.61755082416818
	93- 5.56622360424997
	94- 4.586392043023294
	95- 13.266407833203642
	96- 16.18053030604134
	97- 55.880885226158576
	98- 17.07919908996644
	99- 10.848468421860808
11:	0- 25600.03979132778
	1- 17517.20087875166
	2- 7203.582778431857
	3- 42296.45604186701
	4- 1793.2891299073303
	5- 43.0257307034568
	6- 643.4194813639587
	7- 22.999527591500236
	8- 32.819555276397296
	9- 1.6334185306710145
	10- 487937.0636449097
	11- 26395742224.919388
	12- 57957.61296130824
	13- 146.7882906994239
	14- 17.148578099178643
	15- 149.94840527031585
	16- 17.04085646817727
	17- 109.71043139991374
	18- 222.54840968189617
	19- 14.171873147568867
	20- 3531.109816665163
	21- 16548.085689370197
	22- 20881.87313269697
	23- 204.51566943783664
	24- 964.5613439518994
	25- 85.7932143170775
	26- 930.3978145807745
	27- 144.98701283800563
	28- 29.308673362984912
	29- 6.208790333581638
	30- 2254.9193207786525
	31- 1752.1892195846067
	32- 10672.595597705518
	33- 4596.3529602396475
	34- 660.3896683213247
	35- 13.33584875462987
	36- 47.936955255828536
	37- 5.310150494059928
	38- 5.627822771627857
	39- 54.18443579899967
	40- 84.79802926708551
	41- 130.63113768364667
	42- 70.72218293348264
	43- 280.0337795023983
	44- 5.987220722365173
	45- 23.844232273249933
	46- 173.07600231873886
	47- 57.51545046304431
	48- 66.64282159014707
	49- 8.637895306536981
	50- 37.08350582513064
	51- 1987.7434925866478
