4 73 33
4 73 44
4 78 99
4 78 98
4 78 89
4 78 78
5 27 6
5 27 17
5 27 18
5 27 19
5 27 26
5 27 42
5 27 5
5 27 16
5 27 23
5 27 25
5 27 28
5 27 34
5 27 35
5 27 39
5 27 54
5 27 79
5 27 85
5 27 27
5 27 29
5 27 36
5 27 37
5 32 10
5 32 11
5 32 22
5 32 30
5 32 3
5 32 14
5 32 15
5 32 20
5 32 21
5 32 31
5 32 41
5 32 50
5 32 52
5 32 60
5 32 61
5 32 62
5 32 70
5 32 71
5 32 72
5 32 7
5 32 12
5 32 13
5 32 24
5 32 32
5 47 53
5 47 74
5 47 77
5 47 86
5 47 89
5 47 33
5 47 46
5 47 49
5 48 48
5 73 91
5 73 92
5 73 81
5 73 88
5 73 94
5 73 40
5 73 43
5 73 82
5 73 84
5 73 96
5 73 2
5 73 73
5 73 93
5 73 44
5 73 55
5 73 56
5 73 65
5 73 66
5 73 75
5 78 99
5 78 98
5 78 57
5 78 58
5 78 59
5 78 68
5 78 69
5 78 76
5 78 78
5 78 87
6 27 9
6 27 6
6 27 12
6 27 13
6 27 24
6 27 5
6 27 8
6 27 16
6 27 17
6 27 18
6 27 19
6 27 23
6 27 25
6 27 26
6 27 28
6 27 39
6 27 79
6 27 95
6 27 33
6 27 38
6 27 45
6 27 46
6 27 56
6 32 1
6 32 10
6 32 11
6 32 22
6 32 30
6 32 0
6 32 3
6 32 14
6 32 15
6 32 20
6 32 21
6 32 31
6 32 41
6 32 52
6 32 60
6 32 61
6 32 62
6 32 72
6 47 47
6 48 48
6 73 80
6 73 91
6 73 92
6 73 64
6 73 70
6 73 71
6 73 90
6 73 32
6 73 43
6 73 81
6 73 82
6 73 84
6 73 88
6 73 94
6 73 96
6 73 2
6 73 51
6 73 53
6 73 54
6 73 74
6 73 85
6 73 44
6 78 99
6 78 98
6 78 77
6 78 86
6 78 89
6 78 93
6 78 75
6 78 87
6 78 49
6 78 57
6 78 58
6 78 65
6 78 66
6 78 67
6 78 76
6 78 78
7 27 9
7 27 8
7 27 18
7 27 19
7 27 26
7 27 39
7 27 23
7 27 25
7 27 28
7 27 79
7 27 85
7 27 95
7 27 27
7 27 29
7 27 33
7 27 36
7 27 37
7 27 38
7 27 49
7 27 57
7 27 58
7 27 63
7 27 69
7 27 45
7 32 10
7 32 11
7 32 22
7 32 3
7 32 14
7 32 15
7 32 20
7 32 21
7 32 41
7 32 50
7 32 52
7 32 61
7 32 62
7 32 70
7 32 71
7 32 90
7 32 7
7 32 12
7 32 13
7 32 24
7 32 32
7 32 40
7 32 42
7 47 4
7 48 -1
7 73 80
7 73 92
7 73 64
7 73 43
7 73 82
7 73 84
7 73 96
7 73 51
7 73 74
7 73 93
7 73 44
7 73 55
7 73 75
7 73 56
7 73 65
7 73 66
7 73 67
7 78 99
7 78 97
7 78 77
7 78 89
7 78 76
7 78 78
8 27 9
8 27 8
8 27 18
8 27 19
8 27 26
8 27 39
8 27 79
8 27 27
8 27 29
8 27 35
8 27 36
8 27 59
8 27 68
8 27 76
8 27 37
8 27 49
8 27 58
8 27 45
8 27 56
8 27 65
8 27 66
8 27 67
8 32 10
8 32 11
8 32 22
8 32 0
8 32 3
8 32 14
8 32 20
8 32 21
8 32 50
8 32 61
8 32 70
8 32 90
8 32 7
8 32 24
8 32 40
8 32 42
8 32 43
8 32 82
8 32 84
8 32 2
8 32 5
8 32 16
8 32 28
8 32 34
8 32 85
8 47 4
8 47 47
8 48 -1
8 73 80
8 73 91
8 73 92
8 73 88
8 73 94
8 73 86
8 73 93
8 73 73
8 73 44
8 78 99
8 78 98
8 78 77
9 27 9
9 27 8
9 27 19
9 27 26
9 27 39
9 27 27
9 27 29
9 27 76
9 27 57
9 27 45
9 27 65
9 27 66
9 27 67
9 32 11
9 32 30
9 32 0
9 32 14
9 32 31
9 32 41
9 32 50
9 32 52
9 32 61
9 32 62
9 32 71
9 32 72
9 32 7
9 32 12
9 32 24
9 32 32
9 32 40
9 32 42
9 32 43
9 32 82
9 32 96
9 32 2
9 32 5
9 32 16
9 32 28
9 32 35
9 32 53
9 32 54
9 32 44
9 32 55
9 47 97
9 47 89
9 47 47
9 48 -1
9 73 91
9 73 81
9 73 88
9 73 94
9 73 87
9 78 -1
10 27 -1
10 32 10
10 32 14
10 32 31
10 32 50
10 32 52
10 32 60
10 32 61
10 32 71
10 32 72
10 32 90
10 32 24
10 32 40
10 32 42
10 32 25
10 32 35
10 32 54
10 32 85
10 32 37
10 32 57
10 32 87
10 47 4
10 47 81
10 47 97
10 47 98
10 47 39
10 47 89
10 47 38
10 47 47
10 47 59
10 47 69
10 48 48
10 73 -1
10 78 88
11 27 -1
11 32 -1
11 47 -1
11 48 -1
11 73 91
11 73 60
